id,Size of chocolate pool,Date of entry,Country funded by,Height of pipe,oompa loomper,longitude,Lattitude,Cocoa farm,Country of factory,Region code,District code,Location,Chocolate consumers in town,Does factory offer tours,Recorded by,Oompa loompa management,Official or Unofficial pipe,Year constructed,Type of pump,management,management_group,Payment scheme,chocolate_quality,chocolate_quantity,chocolate_source,chocolate_source_class,pipe_type
47224,900.0,2014-02-16,41.0,1531.0,97.0,230.59598455,321.33145093,5,2845.0,341,2,30,1430,True,Chocolate Lovers Consultants Ltd,0.0,Unofficial pipe,1998,3,0,user-group,2,0,1,6,1,1
21217,0.0,2012-04-13,46.0,0.0,84.0,233.6790858,315.99896445,0,1147.0,337,3,79,0,False,Chocolate Lovers Consultants Ltd,0.0,Unofficial pipe,0,3,1,user-group,5,0,0,6,1,0
40243,0.0,2012-03-03,20.0,208.0,175.0,238.76189331,317.00368308,7,2543.0,385,54,108,1001,True,Chocolate Lovers Consultants Ltd,0.0,Official pipe,1979,7,0,user-group,0,0,2,3,0,1
260,0.0,2012-07-20,441.0,0.0,5.0,232.92510053,322.36193843,1,2220.0,344,4,120,0,True,Chocolate Lovers Consultants Ltd,0.0,Official pipe,0,15,0,user-group,0,0,0,5,0,2
22148,0.0,2014-03-21,20.0,1485.0,5.0,237.37281706,321.72978428,2,14883.0,328,5,20,1001,False,Chocolate Lovers Consultants Ltd,0.0,Official pipe,1983,3,0,user-group,0,0,1,9,2,3
11921,210.0,2014-03-13,23.0,1702.0,82.0,235.66301588,321.62912357,4,14035.0,349,31,89,1250,True,Chocolate Lovers Consultants Ltd,0.0,Official pipe,2003,3,0,user-group,4,5,1,6,1,1
40024,0.0,2014-01-22,284.0,1034.0,278.0,229.64354120000002,320.13847258,5,654.0,341,5,119,7302,False,Chocolate Lovers Consultants Ltd,1.0,Official pipe,1990,9,2,other,0,0,2,8,1,1
36970,0.0,2014-03-25,20.0,2028.0,5.0,236.58596716,321.7631561,2,10446.0,327,3,26,1150,True,Chocolate Lovers Consultants Ltd,0.0,Official pipe,1995,3,0,user-group,6,0,1,0,0,0
7167,0.0,2014-03-16,,1160.0,,235.87369987,321.62389125,4,8526.0,327,2,110,1001,False,Chocolate Lovers Consultants Ltd,6.0,,2005,3,5,user-group,0,0,0,0,0,0
3651,0.0,2014-01-30,59.0,0.0,5.0,233.63900001,321.68688381,4,3849.0,342,3,11,0,True,Chocolate Lovers Consultants Ltd,4.0,Unofficial pipe,0,8,1,user-group,1,0,0,5,0,2
32337,0.0,2014-02-14,32.0,901.0,107.0,237.56121034,321.49753889,2,6270.0,328,3,64,1500,True,Chocolate Lovers Consultants Ltd,4.0,Unofficial pipe,2017,14,1,user-group,0,0,1,0,0,0
5644,0.0,2014-01-04,20.0,1722.0,5.0,236.64721166,321.66932197,2,1300.0,327,3,26,1150,True,Chocolate Lovers Consultants Ltd,0.0,Official pipe,2007,3,0,user-group,0,0,1,0,0,0
51807,0.0,2012-07-18,529.0,0.0,5.0,230.95827907,323.31897052,1,3002.0,343,2,4,0,True,Chocolate Lovers Consultants Ltd,,Official pipe,0,14,2,other,0,0,2,3,0,0
