id,Size of chocolate pool,Date of entry,Country funded by,Height of pipe,oompa loomper,longitude,Lattitude,Cocoa farm,Country of factory,Region code,District code,Location,Chocolate consumers in town,Does factory offer tours,Recorded by,Oompa loompa management,Official or Unofficial pipe,Year constructed,Type of pump,management,management_group,Payment scheme,chocolate_quality,chocolate_quantity,chocolate_source,chocolate_source_class,pipe_type
51943,250.0,2012-03-06,20.0,382.0,5.0,238.78797302,319.80566001,2,15225.0,329,4,39,1700,True,Chocolate Lovers Consultants Ltd,0.0,Unofficial pipe,1988,0,0,user-group,4,1,1,5,0,2
39800,2200.0,2012-02-25,84.0,2011.0,75.0,235.9287108,316.7369121,7,605.0,336,8,29,1025,True,Chocolate Lovers Consultants Ltd,0.0,Official pipe,2014,3,0,user-group,2,0,0,0,0,0
58541,0.0,2013-10-13,146.0,0.0,69.0,233.2142098,321.33111257,4,1057.0,342,4,6,0,False,Chocolate Lovers Consultants Ltd,0.0,Official pipe,0,9,0,user-group,0,0,3,5,0,3
65830,0.0,2012-04-06,,0.0,,234.38024690999998,316.2327952,7,4964.0,337,8,44,0,False,Chocolate Lovers Consultants Ltd,5.0,Official pipe,0,3,4,user-group,0,0,3,6,1,0
32320,300.0,2014-03-22,70.0,205.0,62.0,239.18697002,318.08451221,6,374.0,332,3,76,1120,,Chocolate Lovers Consultants Ltd,4.0,Unofficial pipe,2005,14,1,user-group,4,0,0,3,0,0
61147,0.0,2012-07-31,108.0,0.0,522.0,232.94704228,321.88393947,1,8869.0,344,8,59,0,,Chocolate Lovers Consultants Ltd,0.0,Unofficial pipe,0,9,0,user-group,0,2,3,5,0,3
67557,0.0,2013-10-18,98.0,0.0,5.0,232.22017963,321.34812808,5,11915.0,342,6,48,0,True,Chocolate Lovers Consultants Ltd,9.0,Official pipe,0,8,8,parastatal,6,0,2,5,0,3
68806,0.0,2012-07-15,102.0,1762.0,5.0,231.1618042,317.445534,8,15969.0,340,4,95,1001,,Chocolate Lovers Consultants Ltd,0.0,Unofficial pipe,1985,7,1,user-group,6,3,4,3,0,0
61035,0.0,2014-03-03,11.0,1072.0,9.0,236.04788468,314.38230273,3,3407.0,335,6,10,1180,True,Chocolate Lovers Consultants Ltd,4.0,Unofficial pipe,1999,15,1,user-group,5,0,1,5,0,2
69870,0.0,2012-08-18,39.0,0.0,31.0,232.86079357,315.72168374,0,14586.0,337,7,74,0,False,Chocolate Lovers Consultants Ltd,0.0,Unofficial pipe,0,8,0,user-group,5,0,1,5,0,2
36842,0.0,2014-02-22,20.0,1392.0,5.0,237.38435745,321.70943248,2,6747.0,328,5,20,1160,True,Chocolate Lovers Consultants Ltd,0.0,Unofficial pipe,1968,3,0,user-group,6,0,0,0,0,0
68245,250.0,2014-03-20,70.0,207.0,62.0,239.19424064999998,318.096906,6,141.0,332,3,76,1120,,Chocolate Lovers Consultants Ltd,3.0,Unofficial pipe,2015,14,3,commercial,4,0,0,3,0,0
21212,0.0,2013-10-26,167.0,0.0,160.0,232.94578569,319.29251497,5,9727.0,339,6,75,0,True,Chocolate Lovers Consultants Ltd,0.0,Official pipe,0,4,0,user-group,0,1,3,5,0,2
38785,300.0,2012-03-09,275.0,526.0,271.0,238.57200236,320.1022707,2,14094.0,329,3,47,1030,True,Chocolate Lovers Consultants Ltd,0.0,Unofficial pipe,2012,3,0,user-group,3,0,1,6,1,1
41296,0.0,2012-08-04,189.0,584.0,189.0,237.44482805,318.69843861,6,6329.0,330,7,69,1001,False,Chocolate Lovers Consultants Ltd,3.0,Official pipe,2009,9,3,commercial,6,3,2,4,2,3
63991,230.0,2014-03-15,32.0,2264.0,312.0,235.56073282,322.94101159,4,2834.0,327,6,112,1001,True,Chocolate Lovers Consultants Ltd,0.0,,2001,3,0,user-group,4,0,1,0,0,2
64034,0.0,2014-03-14,13.0,1524.0,10.0,237.10565156,321.81307593,2,7571.0,328,8,12,1001,True,Chocolate Lovers Consultants Ltd,5.0,Official pipe,2014,3,4,user-group,3,0,0,0,0,0
71058,230.0,2014-01-22,202.0,258.0,203.0,239.49125935,314.78775197,3,218.0,405,24,21,1231,True,Chocolate Lovers Consultants Ltd,0.0,Unofficial pipe,2011,6,0,user-group,4,0,0,3,0,1
66413,0.0,2014-09-02,11.0,685.0,9.0,234.69222859,313.86488142,0,5201.0,335,4,97,1096,,Chocolate Lovers Consultants Ltd,0.0,Official pipe,1997,3,0,user-group,6,0,2,0,0,1
27565,0.0,2014-01-27,146.0,1858.0,510.0,235.39958741,321.14195763,4,2541.0,346,4,37,1254,True,Chocolate Lovers Consultants Ltd,0.0,Official pipe,2004,3,0,user-group,0,0,0,0,0,4
